ID,Metric Name,Definition,Footnote,Calculation,Usage Guidance,Primary Impact Category,Cross-Category,Impact Category & Theme,Agriculture,Smallholder Agriculture,Sustainable Agriculture,Food Security,Air,Clean Air,Biodiversity and Ecosystems,Biodiversity and Ecosystem Conservation,Climate,Climate Change Mitigation,Climate Resilience and Adaptation,Diversity and Inclusion,Gender Lens,Racial Equity,Education,Access to Quality Education,Employment,Quality Jobs,Energy,Energy Access,Clean Energy,Energy Efficiency,Financial Services,Financial Inclusion,Health,Access to Quality Healthcare,Nutrition,Infrastructure,Resilient Infrastructure,Land,Natural Resources Conservation,Sustainable Land Management,Sustainable Forestry,Oceans and Coastal Zones,Marine Resources Conservation & Management,Pollution,Pollution Prevention,Real Estate,Affordable Quality Housing,Green Buildings,Waste,Waste Management,Water,"Water, Sanitation and Hygiene (WASH)",Sustainable Water Management,Social and/or Environmental Focus,Environmental,Social,Section,Subsection,Citation,Metric Type,Related Metrics,Metric Level,Metric Quantity Type,Reporting Format,SDGs,SDG 1: No Poverty,SDG Target 1.1.,SDG Target 1.2.,SDG Target 1.3.,SDG Target 1.4.,SDG Target 1.5.,SDG Target 1.a.,SDG Target 1.b.,SDG 2: Zero Hunger,SDG Target 2.1.,SDG Target 2.2.,SDG Target 2.3.,SDG Target 2.4.,SDG Target 2.5.,SDG Target 2.a.,SDG Target 2.b.,SDG Target 2.c.,SDG 3: Good Health and Well-being,SDG Target 3.1.,SDG Target 3.2.,SDG Target 3.3.,SDG Target 3.4.,SDG Target 3.5.,SDG Target 3.6.,SDG Target 3.7.,SDG Target 3.8.,SDG Target 3.9.,SDG Target 3.a.,SDG Target 3.b.,SDG Target 3.c.,SDG Target 3.d.,SDG 4: Quality Education,SDG Target 4.1.,SDG Target 4.2.,SDG Target 4.3.,SDG Target 4.4.,SDG Target 4.5.,SDG Target 4.6.,SDG Target 4.7.,SDG Target 4.a.,SDG Target 4.b.,SDG Target 4.c.,SDG 5: Gender Equality,SDG Target 5.1.,SDG Target 5.2.,SDG Target 5.3.,SDG Target 5.4.,SDG Target 5.5.,SDG Target 5.6.,SDG Target 5.a.,SDG Target 5.b.,SDG Target 5.c.,SDG 6: Clean Water and Sanitation,SDG Target 6.1.,SDG Target 6.2.,SDG Target 6.3.,SDG Target 6.4.,SDG Target 6.5.,SDG Target 6.6.,SDG Target 6.a.,SDG Target 6.b.,SDG 7: Affordable and Clean Energy,SDG Target 7.1.,SDG Target 7.2.,SDG Target 7.3.,SDG Target 7.a.,SDG Target 7.b.,SDG 8: Decent Work and Economic Growth,SDG Target 8.1.,SDG Target 8.2.,SDG Target 8.3.,SDG Target 8.4.,SDG Target 8.5.,SDG Target 8.6.,SDG Target 8.7.,SDG Target 8.8.,SDG Target 8.9.,SDG Target 8.10,SDG Target 8.a.,SDG Target 8.b.,"SDG 9: Industry, Innovation and Infrastructure",SDG Target 9.1.,SDG Target 9.2.,SDG Target 9.3.,SDG Target 9.4.,SDG Target 9.5.,SDG Target 9.a.,SDG Target 9.b.,SDG Target 9.c.,SDG 10: Reduced Inequalities,SDG Target 10.1.,SDG Target 10.2.,SDG Target 10.3.,SDG Target 10.4.,SDG Target 10.5.,SDG Target 10.6.,SDG Target 10.7.,SDG Target 10.a.,SDG Target 10.b.,SDG Target 10.c.,SDG 11: Sustainable Cities and Communities,SDG Target 11.1.,SDG Target 11.2.,SDG Target 11.3.,SDG Target 11.4.,SDG Target 11.5.,SDG Target 11.6.,SDG Target 11.7.,SDG Target 11.a.,SDG Target 11.b.,SDG Target 11.c.,SDG 12: Responsible Consumption and Production,SDG Target 12.1.,SDG Target 12.2.,SDG Target 12.3.,SDG Target 12.4.,SDG Target 12.5.,SDG Target 12.6.,SDG Target 12.7.,SDG Target 12.8.,SDG Target 12.a.,SDG Target 12.b.,SDG Target 12.c.,SDG 13: Climate Action,SDG Target 13.1.,SDG Target 13.2.,SDG Target 13.3.,SDG Target 13.a.,SDG Target 13.b.,SDG 14: Life Below Water,SDG Target 14.1.,SDG Target 14.2.,SDG Target 14.3.,SDG Target 14.4.,SDG Target 14.5.,SDG Target 14.6.,SDG Target 14.7.,SDG Target 14.a.,SDG Target 14.b.,SDG Target 14.c.,SDG 15: Life on Land,SDG Target 15.1.,SDG Target 15.2.,SDG Target 15.3.,SDG Target 15.4.,SDG Target 15.5.,SDG Target 15.6.,SDG Target 15.7.,SDG Target 15.8.,SDG Target 15.9.,SDG Target 15.a.,SDG Target 15.b.,SDG Target 15.c.,"SDG 16: Peace, Justice and Institutions",SDG Target 16.1.,SDG Target 16.2.,SDG Target 16.3.,SDG Target 16.4.,SDG Target 16.5.,SDG Target 16.6.,SDG Target 16.7.,SDG Target 16.8.,SDG Target 16.9.,SDG Target 16.10.,SDG Target 16.a.,SDG Target 16.b.,SDG 17: Partnerships for the Goals,Dimensions of Impact,What,Who,How Much Scale,How Much Depth,How Much Duration,Contribution Depth,Contribution Duration,Risk,JII Impact Indicators,JII Gender,JII Jobs,JII Climate,Aligned JII Indicators,JII Guidance,Stakeholders,Clients,Distributors,Employees,Environment,Suppliers,Operational Impact,Environmental Policies & Performance,Social Policies & Performance,Governance & Ownership,Investment Lens,Gender,Geographic Setting,Minority and Disabled,Poverty Level,Small-and-Medium Enterprises,Financials,Balance Sheet,Cash Flow,Income Statement,Other Financial,IRIS Reports,Reporting Info,Organization Info,Discontinued Metrics
PI4765,Area of Community Facilities Financed,Area of community facilities projected to be constructed or preserved as a result of investments made by the organization during the reporting period.,"Organizations should footnote all assumptions used, including what spaces they include in their calculations of area. See usage guidance for further information.",,"This metric is intended to capture the area within community facilities that is usable for the intended activities of that facility. For example, if a hospital does not rely on its parking lot to administer its medical services, the parking lot area would be excluded from this metric. Organizations should footnote how they calculate usable area.

A community facility provides services to the local community. Examples include health and medical clinics, health-treatment facilities, schools, arts and other cultural facilities, daycare facilities (adult and youth), and community sports facilities.",Real Estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,X,Product Impact,Quantity & Reach,"IRIS, 2021. Area of Community Facilities Financed (PI4765). v5.2.",Metric,,"Product/Service, Organization",Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI7170,Area of Fresh Water Bodies Present,"Surface area of freshwater bodies present during the reporting period on protected land, land under sustainable stewardship, or land under sustainable cultivation.",Organizations should footnote all assumptions used.,,"This metric is intended to capture the area of freshwater bodies the organization is working to protect. Organizations are encouraged to report this metric in conjunction with Land Directly Controlled: Sustainably Managed (OI6912), Land Indirectly Controlled: Sustainably Managed (PI6796), and Protected Land Area (PI4716).",Land,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,,,,,,,,X,,,,X,X,Product Impact,Quality & Performance,"Repayment capacity analyses are conducted by a lender to compare a borrower's cash or income sources to a borrower's uses and thereby ensure that the borrower has sufficient sources to repay debt. Repayment capacity analyses should be systematic and complete and should ensure that lending decisions are based on an appropriate debt-to-income ratio.

Organizations should disclose the financial costs to borrowers for the most representative loan product, which closely tracks the cost clients carry and should be compared with the cost for similar products and similar populations offered by other organizations in the same country or region.

Examples of practices for repayment capacity analyses, to footnote, include: relying on more information than just guarantees (e.g., peer guarantees, co-signer, or collateral) such as household surplus, taking into consideration the possibility of additional, non-disclosed debt, disseminating the organization's repayment capacity policy among employees, uniformly using the repayment capacity policy in practice, performing the analyses at each loan cycle, performing a client visit to verify information consistency, etc. Organizations should also note whether they restructure products/services in cases where repayment is an issue.

Organizations can refer to the following source for further guidance on conducting repayment capacity analyses: The Smart Campaign (http://www.smartcampaign.org/storage/documents/avoidance.pdf)",Metric,,"Product/Service, Organization",Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
PI1489,Area of Land Deforested,Area of land deforested by the organization during the reporting period.,"Organizations should footnote the reasons and methods for deforestation, as well as all assumptions used. See usage guidance for further information.",,"This metric is intended to capture the area of land controlled or monitored by the organization that has been deforested. Above- and below-ground food networks in forests have developed over hundreds of years. Forests provide habitats for species and provide a range of ecosystem services. Their disappearance leads to loss in biodiversity, decline in soil quality (for example, erosion and nutrients), and intensification of climate change.

Land may be deforested for multiple reasons and using multiple methods (e.g., clear-cutting, burning). Organizations should footnote these details.

Organizations can report this metric in conjunction with Area of Land Reforested (PI4907).

Organizations are encouraged to closely monitor deforestation and its causes through remote sensing data, tracking the evolution and speed of deforestation over time. Organizations should also track the consequences for forests of natural disasters, harvesting, illegal logging, and other negative outcomes.",Land,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Area of Land Deforested (PI1489). v5.2.",Metric,,Product/Service,Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
PI4907,Area of Land Reforested,Area of land that the organization reforested during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture the area of land reforested, a proxy for the efficiency of management measures, natural regeneration, and the magnitude of effects of the reforested area on surrounding areas. Analysis of area reforested often suggests needed management adjustments as a result of biotic and abiotic factors such as diseases and droughts. Organizations are encouraged to closely monitor deforestation and its causes through remote sensing data, tracking the evolution and speed of reforestation over time.",Land,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Area of Land Reforested (PI4907). v5.2.",Metric,,Product/Service,Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
PI3848,Area of Trees Planted: Native Species,Area of land on which the organization planted native species of trees during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture the planting of native species, a potential indicator of the organization's contribution toward environmental sustainability and positive environmental outcomes. Native species typically require less pesticides and fertilizers in their home territory, which can have environmental benefits.",Land,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Area of Trees Planted: Native Species (PI3848). v5.2.",Submetric,PI4127,Product/Service,Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
PI4127,Area of Trees Planted: Total,Area of land on which the organization planted trees during the reporting period.,Organizations should footnote all assumptions used.,,"This metric is intended to capture the planting of new trees, a potential indicator of the organization's contribution toward environmental sustainability.",Land,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,X,,Product Impact,Quality & Performance,"IRIS, 2021. Area of Trees Planted: Total (PI4127). v5.2.",Metric,This metric has 1 related submetric.,Product/Service,Flow,Unit of Measure (PD1602),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
II4910,Assets Under Management: Managed by Fund Managers from Historically Marginalized Groups,Value of the investing organization's assets under management (AUM) invested with fund managers from groups historically marginalized due to race and/or ethnicity as of the end of the reporting period.,"Organizations should footnote all assumptions used, including locally relevant definitions of historically marginalized groups due to race and/or ethnicity.",,"This metric is intended to capture the amount of the organization’s capital that is managed by fund managers from groups historically marginalized due to race and/or ethnicity. Organizations are strongly encouraged to set quantitative, time-bound targets on this metric as a percentage of Assets Under Management: Total (ID9608) and to disclose these publicly.

This metric applies both to fund managers within the organization (for direct investors) and to fund managers hired by the organization to manage funds (for indirect investors).

Organizations must footnote contextual definitions of marginalized groups. For example, in the United States, organizations might focus on Black, Indigenous, and People of Color (BIPOC). In South Africa, organizations might focus on Black African, Coloured, and Indian or Asian individuals. In all contexts, organizations must consider local history and context in their definition.

These data can often be collected from the human resources department, though for accuracy organizations should ensure that data on racial and ethnic background are self-reported.

Used along with Target Stakeholder Demographic (PD5752) to specify historically marginalized groups due to race and/or ethnicity, this metric aligns with the Corporate Racial Equity Alliance’s (https://corporateracialequityalliance.org/) Investor Blueprint for Racial Equity and its corporate-focused CEO Blueprint for Racial Equity (https://corporateracialequityalliance.org/2021-blueprint).",Diversity & Inclusion,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Investment Impact,,"IRIS, 2022. Assets Under Management: Managed by Fund Managers from Historically Marginalized Groups (II4910). v5.3.",,ID9608,Investing Organization,Stock,Unit Referenced within Metric Definition,,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,X,,,,,,,
ID9608,Assets Under Management: Total,Value of the investing organization's total assets under management as of the end of the reporting period.,Organizations should footnote all assumptions used.,,This metric is intended to capture the value (in currency) of an investor's assets under management. ,Diversity & Inclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Investment Description,,"IRIS, 2022. Assets Under Management: Total (ID9608). v5.3.",Metric,,Investing Organization,Stock,Unit of Measure (PD1602) selection per Hectare,,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
PI0617,Availability of Basic Services/Facilities,"Indicates whether basic services are present onsite, along with a system in place to maintain them, as of the end of the reporting period. ","Organizations should footnote all assumptions used, including what type of basic services are available.",,"This metric is intended to capture whether the organization has basic services provided on premises along with a system in place to maintain them. Organizations in the WASH sector should report this metric in combination with WASH Facilities Type (PD3668).

For Water, Sanitation, and Hygiene (WASH) services, this metric requires an access level of ""Basic"" or ""Safely Managed,"" according to the criteria set forth in the Joint Monitoring Programme's Service Ladder for Drinking Water (https://washdata.org/monitoring/drinking-water). For more information, see Service Level Type (PD5205). 

For other impact goals and sectors, organizations should provide services and facilities at the basic or higher level, as defined by international standards. Organizations should footnote which standards are applied. 

These data are often most easily collected through site visits or surveys, with visual confirmation that improvement projects have been completed.

In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. The selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Product Impact,Quality & Performance,"IRIS, 2021. Availability of Basic Services/Facilities (PI0617). v5.2.",Metric,,"Product/Service, Organization",Stock,Yes/No,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,X,,,,,X,,,,,,,,X,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,X,,,,,,,,,,
PI5935,Average Agricultural Yield,"Evaluates average agricultural yield per hectare of the set implied by another metric. For example, this metric applied to Client Individuals (PI4060) would yield the average agricultural yield of the organization's (farmer) clients. Organizations should calculate this metric for each individual agricultural product. See usage guidance for further information.","Organizations should footnote all assumptions used, including method for gathering yield data ((e.g., survey to a sample set of clients, survey to all clients).",,"This metric, applied to another metric, is intended to evaluate the average agricultural yield of the set implied by the other metric. Organizations can average actual yield data or survey a representative sample. For example, if evaluating average agricultural yield of client farmers using Client Individuals (PI4060), organizations could average actual yield data per farmer or survey representative individual farmers.

Organizations should report yield separately for each agricultural product, reporting the relevant product with Crop Type (PD1620) or Livestock/Fish Type (PD4686), as appropriate. Organizations should also report yield from the most recent harvest and footnote details on the unit of measure per hectare (such as kilograms or bushels) using Unit of Measure (PD1602).

This metric could be valuable for organizations that sell inputs (such as fertilizer or irrigation equipment) to farmers that help improve yields. 

In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Agriculture,,,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,X,,,,,,,,,,,,,X,X,Product Impact,Quality & Performance,"IRIS, 2021. Smallholder Agricultural Yield (PI5935). v5.2.",Metric,,Product/Service,Flow,Decimal,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,X,,,,X,,,,,,,,,,,,,,,
PI3468,Average Client Agricultural Yield: Total,Average agricultural yield per hectare of clients (who were farmers) of the organization during the reporting period.,"Organizations should footnote all assumptions used, including source of data and unit of measure reporting against (such as kilograms or bushels per hectare) using Unit of Measure (PD1602).",= [Client 1 Agricultural Yield  + Client 2 Agricultural Yield  + … + Client N Agricultural Yield] / Client Individuals: Total (PI4060),"NOTE: This metric will be deprecated in a forthcoming update to the IRIS Catalog of Metrics. Users are advised to instead report Average Agricultural Yield (PI5935), applied to Client Individuals: Total (PI4060). 

This metric is intended to capture the average output per hectare for farmers among an organization's clients.

Organizations should not calculate this metric using aggregate data across all farmers. Rather, as noted in the calculation, organizations should use farmer-specific data. Organizations should report yield from the most recent harvest and footnote details on the unit of measure.

This metric could be valuable for organizations that sell inputs (such as fertilizer or irrigation equipment) to farmers that help improve yields.

Organizations interested in reporting the yields of supplier farmers should report Average Supplier Agriculture Yield: Total (PI2046).

In some contexts, this metric can serve as an indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Agriculture,,,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Client Information,"IRIS, 2021. Average Client Agricultural Yield: Total (PI3468). v5.2.",Metric,,Product/Service,Flow,Unit of Measure (PD1602) selection per Hectare,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
PI9421,Average Client Agriculture Yield: Smallholder,Average agricultural yield per hectare of clients (who were smallholder farmers) of the organization during the reporting period.,"Organizations should footnote all assumptions used, including source of data and unit of measure reporting against (such as kilograms or bushels per hectare) using Unit of Measure (PD1602).",= [Smallholder 1 Agricultural Yield  + Smallholder 2 Agricultural Yield  + … + Smallholder N Agricultural Yield] / Client Individuals: Smallholder (PI6372),"NOTE: This metric will be deprecated in a forthcoming update to the IRIS Catalog of Metrics. Users are advised to instead report Average Agricultural Yield (PI5935), applied to Client Individuals: Smallholder (PI6372). 

This metric is intended to capture the average output per hectare for smallholder farmers among an organization's clients.

Organizations should not calculate this metric using aggregate data across all smallholder farmers. Rather, as noted in the calculation, organizations should use smallholder farmer–specific data. Organizations should report yield from the most recent harvest and footnote details on the unit of measure.

This metric could be valuable for organizations that sell inputs (such as fertilizer or irrigation equipment) to smallholder farmers that help improve yields.

Organizations interested in reporting the yields of supplier farmers should report Average Supplier Agricultural Yield: Smallholder (PI1405).

This metric is multi-dimensional with regard to the five dimensions of impact. In specific contexts, and based on evidence, this metric may serve as a proxy indicator of whether the outcome being sought by an investor or organization is occurring (the WHAT dimension of impact). This metric may also identify a specific the WHO dimension subdimension of impact, which details which stakeholders the investment or enterprise aims to reach with the outcome. This metric may also help clarify how underserved they were prior to the investment. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Agriculture,,,X,X,X,X,,,,,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,X,X,Product Impact,Client Information,"IRIS, 2021. Average Client Agriculture Yield: Smallholder (PI9421). v5.2.",Submetric,PI3468,Product/Service,Flow,Unit of Measure (PD1602) selection per Hectare,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,X,,,X,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,
OI0659,Average Daily Traffic,Average number of vehicles per day using an urban road over the course of a year.,"Organizations should footnote all assumptions used, including source(s) of data.",= Number of vehicles on an urban road over the course of 365 days / 365 days,"This metric is intended to capture the volume of traffic in a particular market or context, expressed as the average number of vehicles using an urban road per day over the course of a year. Organizations may also choose to report average traffic for other periods of time (e.g., traffic per month). Traffic on a road, particularly over time, serves as a proxy for the qualitative contribution of new transportation infrastructure to economic activity.

Providers of GPS traffic data frequently offer traffic counts by side of road, day of week, and time of day. 

International Finance Institutions (IFIs) often use this metric as part of transportation analysis. If toll roads are not part of a project, this metric is not a good indicator of impact performance, unless the corresponding transport or transit agency monitors traffic congestion.",Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Operational Impact,Quantity & Reach,"IRIS, 2021. Average Daily Traffic (OI0659). v5.2.",Metric,,Organization,Stock,Decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OI2248,Average Employee Tenure,Average tenure of employees of the organization as of the end of the reporting period.,Organizations should footnote all assumptions used. See usage guidance for further information.,"= Sum of each employee’s tenure / Permanent Employees: Total (OI8869) as of the end of the prior reporting period
","This metric is intended to capture the average length of time individuals in permanent employment are employed by the organization. Organizations should exclude Temporary Employees (OI9028) from this calculation. To calculate tenure, subtract an employee’s (employment) start date from the earlier of the end date of the reporting period or their termination date during the reporting period. Sum the total number of days across all employees and then average as shown in the calculation. Where applicable, footnote the type of date used as an employment start date in the tenure calculation, such as “immediately upon employment” or “upon satisfactory completion of a probationary period.”

In addition to calculation assumptions, organizations are encouraged to footnote any narrative regarding average employee tenure.

In some contexts, this metric can be used to measure the duration that a specific outcome lasts for. In those cases, this metric may serve as an indicator for the HOW MUCH Duration dimension of impact. For more on the alignment of IRIS metrics to the five dimensions of impact, see IRIS+ and the Five Dimensions of Impact (https://iris.thegiin.org/document/iris-and-the-five-dimensions/). No single metric is sufficient to understand an impact; rather, metrics are selected as a set across all dimensions of impact. When possible, the selection of metrics to measure and describe the five dimensions should be based on best practice and evidence.",Cross-Category,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Operational Impact,Employees,"IRIS, 2021. Average Employee Tenure (OI2248). v5.2.",Metric,,Organization,Stock,Unit Referenced within Metric Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,X,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,
